Ticker,Company Name,Sector,Price (INR),Change %,P/E Ratio,ROE %,Market Cap (Cr)
"HINDHOL1112","Hindalco Holdings T1112","Banking",647.14,-3.13,53.9,18.1,221677
"ITCCAP1113","ITC Capital U1113","Pharma",4939.98,0.06,56.4,4.2,58441
"BAJASOF1114","Bajaj Software V1114","Energy",539.96,2.95,38.0,11.8,225348
"WIPRLAB1115","Wipro Labs W1115","Automobile",1397.65,1.66,24.6,33.6,390215
"HDFCTEC1116","HDFC Technologies X1116","Consumer Goods",327.40,-3.78,36.2,27.8,60790
"HDFCGLO1117","HDFC Global Y1117","IT",2915.70,0.77,30.6,0.5,238859
"AIRTAUT1118","Airtel Automotive Z1118","Banking",2054.34,1.12,17.1,32.9,197410
"MAHIINF1119","Mahindra Infrastructure A1119","Pharma",3805.45,-0.15,33.8,9.7,330720
"AIRTENT1120","Airtel Enterprises B1120","Energy",2699.72,-0.12,66.3,17.2,354801
"KOTASOL1121","Kotak Solutions C1121","Automobile",3765.41,0.13,41.5,27.3,499379
"KOTASOF1122","Kotak Software D1122","Consumer Goods",1048.12,-0.69,15.5,10.9,12646
"TITAENT1123","Titan Enterprises E1123","IT",4918.09,0.30,13.0,28.6,432718
"RELIAUT1124","Reliance Automotive F1124","Banking",2874.70,-0.44,37.6,5.1,306151
"RELIAUT1125","Reliance Automotive G1125","Pharma",400.22,-5.45,21.4,34.4,209826
"AXISENT1126","Axis Enterprises H1126","Energy",3274.38,-0.11,42.9,26.5,247565
"LARSAUT1127","Larsen Automotive I1127","Automobile",303.14,-0.05,57.0,9.1,232009
"TITAGLO1128","Titan Global J1128","Consumer Goods",855.45,-2.77,38.4,29.8,312648
"AIRTTEC1129","Airtel Technologies K1129","IT",500.50,-3.30,56.6,14.5,403072
"BAJAPOW1130","Bajaj Power L1130","Banking",2191.19,0.06,36.3,19.5,388001
"SUNCAP1131","Sun Capital M1131","Pharma",2916.68,-0.49,31.3,5.1,50227
"ICICDIG1132","ICICI Digital N1132","Energy",2699.01,0.08,65.2,19.7,229411
"CIPLCAP1133","Cipla Capital O1133","Automobile",3112.64,0.36,33.8,27.5,158423
"TATADIG1134","Tata Digital P1134","Consumer Goods",3205.90,-0.18,9.2,33.1,124370
"NTPCGLO1135","NTPC Global Q1135","IT",410.32,-3.56,48.3,0.5,79630
"INFOPHA1136","Infosys Pharmaceuticals R1136","Banking",4776.11,-0.09,23.5,9.8,292569
"AXISDIG1137","Axis Digital S1137","Pharma",3028.49,0.67,35.8,33.4,127792
"SUNGLO1138","Sun Global T1138","Energy",2391.38,0.41,64.6,18.9,173753
"LARSDIG1139","Larsen Digital U1139","Automobile",2722.23,-0.22,29.9,29.2,323820
"INFOCAP1140","Infosys Capital V1140","Consumer Goods",467.11,-3.57,49.9,18.6,227856
"AUROAUT1141","Aurobindo Automotive W1141","IT",306.17,-7.47,60.0,9.7,287343
"AIRTVEN1142","Airtel Ventures X1142","Banking",1617.38,-1.25,64.0,11.0,449593
"BAJAHOL1143","Bajaj Holdings Y1143","Pharma",4116.76,-0.44,38.8,1.5,136070
"HINDHOL1144","Hindalco Holdings Z1144","Energy",4377.81,-0.10,5.8,21.2,271198
"VEDASOL1145","Vedanta Solutions A1145","Automobile",2693.61,-0.47,63.3,18.4,45247
"LARSSOF1146","Larsen Software B1146","Consumer Goods",1471.64,-0.09,47.9,11.3,437565
"WIPRPHA1147","Wipro Pharmaceuticals C1147","IT",2505.20,-0.86,20.6,32.8,453814
"HINDFMC1148","Hindalco FMCG D1148","Banking",1712.30,-0.99,36.8,29.9,371161
"ADANINF1149","Adani Infrastructure E1149","Pharma",413.82,2.36,35.3,33.5,159021
"INFOAUT1150","Infosys Automotive F1150","Energy",1138.77,1.41,30.2,20.2,381961
"MAHISOL1151","Mahindra Solutions G1151","Automobile",2335.44,-0.91,32.9,10.9,390843
"VEDASOF1152","Vedanta Software H1152","Consumer Goods",709.74,-2.93,35.7,32.9,360891
"RELIINF1153","Reliance Infrastructure I1153","IT",3243.11,-0.12,14.1,15.5,306929
"NTPCLAB1154","NTPC Labs J1154","Banking",5078.55,-0.08,69.6,4.5,278095
"TITALAB1155","Titan Labs K1155","Pharma",2139.59,0.99,6.6,12.6,44162
"RELILAB1156","Reliance Labs L1156","Energy",1873.95,0.33,7.4,19.0,435434
"CIPLSOL1157","Cipla Solutions M1157","Automobile",410.43,6.30,69.8,15.9,104260
"RELIDIG1158","Reliance Digital N1158","Consumer Goods",3792.84,0.09,67.3,27.0,492648
"HINDENT1159","Hindalco Enterprises O1159","IT",4447.70,-0.30,62.6,16.4,383563
"WIPRHOL1160","Wipro Holdings P1160","Banking",274.31,-2.81,21.2,25.1,151955
"SUNDIG1161","Sun Digital Q1161","Pharma",3863.40,0.04,22.3,30.8,143952
"MAHIIND1162","Mahindra Industries R1162","Energy",5059.53,0.10,18.4,11.9,342540
"HDFCHOL1163","HDFC Holdings S1163","Automobile",1497.26,-1.54,47.1,19.8,1231
"MAHIFMC1164","Mahindra FMCG T1164","Consumer Goods",3385.29,0.44,18.3,16.8,353000
"VEDASOL1165","Vedanta Solutions U1165","IT",3279.83,-0.28,54.9,31.6,14284
"ITCPHA1166","ITC Pharmaceuticals V1166","Banking",2785.02,-0.15,12.9,19.2,322706
"HDFCSOF1167","HDFC Software W1167","Pharma",1374.51,-1.65,60.1,31.7,111896
"WIPRAUT1168","Wipro Automotive X1168","Energy",2013.38,0.78,60.0,13.0,8558
"MAHIPHA1169","Mahindra Pharmaceuticals Y1169","Automobile",1436.49,0.92,21.6,29.0,220010
"RELISOF1170","Reliance Software Z1170","Consumer Goods",4147.37,0.44,37.7,30.4,401136
"AIRTDIG1171","Airtel Digital A1171","IT",4879.03,-0.22,37.6,2.6,328124
"MAHICAP1172","Mahindra Capital B1172","Banking",2835.90,0.13,17.7,11.0,125225
"ITCDIG1173","ITC Digital C1173","Pharma",4687.99,0.21,49.2,19.2,408071
"RELISOF1174","Reliance Software D1174","Energy",165.85,15.73,30.6,21.9,98300
"TITAHOL1175","Titan Holdings E1175","Automobile",4856.32,0.35,66.2,1.4,314687
"AXISGLO1176","Axis Global F1176","Consumer Goods",1503.45,-0.23,19.4,30.0,125713
"INFOCAP1177","Infosys Capital G1177","IT",1164.40,-2.00,47.2,9.0,251600
"BIOCDIG1178","Biocon Digital H1178","Banking",413.41,-3.39,12.0,17.5,75555
"AUROPHA1179","Aurobindo Pharmaceuticals I1179","Pharma",5042.95,0.32,67.3,18.3,163342
"TATADIG1180","Tata Digital J1180","Energy",667.12,-0.74,23.5,21.4,245387
"MARUSOF1181","Maruti Software K1181","Automobile",4050.91,0.54,6.4,11.3,135213
"VEDAAUT1182","Vedanta Automotive L1182","Consumer Goods",3636.27,-0.08,47.6,17.0,283417
"NTPCENT1183","NTPC Enterprises M1183","IT",2651.42,0.08,34.4,4.6,262367
"BIOCPOW1184","Biocon Power N1184","Banking",2923.58,-0.04,11.8,32.0,324104
"BIOCAUT1185","Biocon Automotive O1185","Pharma",2198.52,1.09,7.7,10.7,264889
"CIPLENT1186","Cipla Enterprises P1186","Energy",795.09,-0.41,9.9,5.0,427484
"WIPRVEN1187","Wipro Ventures Q1187","Automobile",3294.91,0.08,31.6,7.2,219789
"ADANPOW1188","Adani Power R1188","Consumer Goods",734.10,-1.72,41.4,5.6,11961
"RELIIND1189","Reliance Industries S1189","IT",4608.98,0.52,62.0,15.7,149511
"HINDENT1190","Hindalco Enterprises T1190","Banking",2791.62,-0.74,47.2,25.3,218483
"HINDSOL1191","Hindalco Solutions U1191","Pharma",2862.32,-0.57,51.3,34.7,64069
"KOTAGLO1192","Kotak Global V1192","Energy",3248.16,0.21,47.1,7.9,446724
"HINDPOW1193","Hindalco Power W1193","Automobile",349.94,-4.95,20.4,31.3,194154
"SUNPOW1194","Sun Power X1194","Consumer Goods",999.83,2.44,68.2,26.2,363477
"WIPRIND1195","Wipro Industries Y1195","IT",3306.36,0.68,36.5,7.0,113252
"LARSENT1196","Larsen Enterprises Z1196","Banking",4760.77,-0.01,22.3,10.6,397819
"TITAAUT1197","Titan Automotive A1197","Pharma",3330.57,-0.71,57.1,21.5,156870
"HDFCDIG1198","HDFC Digital B1198","Energy",2986.34,-0.49,61.4,27.9,333545
"NTPCVEN1199","NTPC Ventures C1199","Automobile",3166.63,-0.22,57.6,23.6,99492
"GODRHOL1200","Godrej Holdings D1200","Consumer Goods",4565.86,0.16,41.1,21.7,439698
"LARSIND1201","Larsen Industries E1201","IT",4462.81,0.53,50.8,21.0,34629
"MAHIAUT1202","Mahindra Automotive F1202","Banking",1230.79,1.05,40.4,13.0,162784
"INFOSOL1203","Infosys Solutions G1203","Pharma",1654.48,0.05,19.1,4.9,86046
"AUROVEN1204","Aurobindo Ventures H1204","Energy",3358.12,-0.35,27.0,3.9,88053
"HDFCSOF1205","HDFC Software I1205","Automobile",1677.66,0.90,60.6,33.0,30270
"BAJAINF1206","Bajaj Infrastructure J1206","Consumer Goods",4873.83,-0.15,57.6,30.0,156997
"ITCVEN1207","ITC Ventures K1207","IT",114.12,6.70,60.7,22.9,158637
"BIOCFMC1208","Biocon FMCG L1208","Banking",3671.58,0.30,11.9,3.3,147501
"AXISHOL1209","Axis Holdings M1209","Pharma",2245.75,0.81,17.0,4.5,437186
"ITCDIG1210","ITC Digital N1210","Energy",594.76,3.86,13.2,20.7,62708
"TITAFMC1211","Titan FMCG O1211","Automobile",4413.46,-0.17,46.8,16.6,275953
"CIPLSOL1212","Cipla Solutions P1212","Consumer Goods",595.62,-2.25,66.6,4.3,242629
"AIRTPOW1213","Airtel Power Q1213","IT",4781.79,-0.41,63.3,24.0,87922
"ICICINF1214","ICICI Infrastructure R1214","Banking",2016.16,-0.22,31.3,28.1,227367
"MARUCAP1215","Maruti Capital S1215","Pharma",2223.68,-0.21,37.2,6.7,465310
"WIPRDIG1216","Wipro Digital T1216","Energy",1322.75,1.45,59.7,25.9,465625
"TATADIG1217","Tata Digital U1217","Automobile",1046.11,1.21,41.5,26.1,55487
"TITASOL1218","Titan Solutions V1218","Consumer Goods",759.03,-0.14,41.8,32.3,416602
"CIPLTEC1219","Cipla Technologies W1219","IT",1335.53,0.01,68.6,16.6,178559
"AUROAUT1220","Aurobindo Automotive X1220","Banking",1351.77,-0.86,37.7,9.2,306407
"AIRTFMC1221","Airtel FMCG Y1221","Pharma",3639.71,0.58,30.2,0.5,140383
"TITASOF1222","Titan Software Z1222","Energy",2126.31,-0.35,41.1,21.6,47682
"AUROIND1223","Aurobindo Industries A1223","Automobile",2815.65,-0.17,18.3,10.9,144980
"LARSDIG1224","Larsen Digital B1224","Consumer Goods",4137.75,0.35,66.7,19.2,66311
"INFOAUT1225","Infosys Automotive C1225","IT",4691.13,0.04,30.9,29.7,29011
"MAHIAUT1226","Mahindra Automotive D1226","Banking",1850.61,0.89,16.1,3.1,260719
"GODRDIG1227","Godrej Digital E1227","Pharma",2931.17,-0.77,67.8,21.9,450514
"HDFCINF1228","HDFC Infrastructure F1228","Energy",2981.09,0.82,44.2,26.0,247251
"INFOHOL1229","Infosys Holdings G1229","Automobile",4496.68,0.31,37.7,2.0,370690
"MAHIENT1230","Mahindra Enterprises H1230","Consumer Goods",3120.20,-0.27,11.0,28.9,467634
"AUROGLO1231","Aurobindo Global I1231","IT",3010.29,-0.53,61.2,10.3,495988
"LARSAUT1232","Larsen Automotive J1232","Banking",4431.06,-0.07,57.9,29.6,413557
"BAJAFMC1233","Bajaj FMCG K1233","Pharma",3168.43,-0.03,44.1,4.8,427584
"GODRAUT1234","Godrej Automotive L1234","Energy",2006.36,-1.04,20.2,31.0,248848
"BIOCLAB1235","Biocon Labs M1235","Automobile",1014.98,2.52,59.8,28.2,204776
"HDFCGLO1236","HDFC Global N1236","Consumer Goods",4033.86,0.36,50.8,22.7,256347
"WIPRPHA1237","Wipro Pharmaceuticals O1237","IT",224.40,9.66,31.4,23.1,207127
"BIOCDIG1238","Biocon Digital P1238","Banking",4885.65,-0.13,63.5,34.1,201430
"ADANFMC1239","Adani FMCG Q1239","Pharma",3025.80,-0.42,14.2,23.0,40920
"BIOCIND1240","Biocon Industries R1240","Energy",4745.01,-0.26,49.0,23.5,477585
"HDFCHOL1241","HDFC Holdings S1241","Automobile",3098.17,0.39,41.3,27.9,360829
"SUNSOL1242","Sun Solutions T1242","Consumer Goods",1416.31,-0.10,52.2,35.0,351391
"MARULAB1243","Maruti Labs U1243","IT",813.32,-0.47,24.9,22.6,303787
"BAJADIG1244","Bajaj Digital V1244","Banking",2693.27,0.41,26.3,28.5,459539
"AXISGLO1245","Axis Global W1245","Pharma",1534.14,-0.31,31.1,18.6,318563
"AXISINF1246","Axis Infrastructure X1246","Energy",1420.43,0.72,49.7,10.2,199655
"AXISPOW1247","Axis Power Y1247","Automobile",1825.77,-0.29,6.9,3.6,5693
"INFOSOL1248","Infosys Solutions Z1248","Consumer Goods",2900.74,-0.43,43.9,32.7,113318
"MARUENT1249","Maruti Enterprises A1249","IT",1880.47,0.71,22.7,14.5,314626
"SUNENT1250","Sun Enterprises B1250","Banking",1711.29,-0.44,67.0,26.0,65785
"LARSHOL1251","Larsen Holdings C1251","Pharma",4374.94,0.10,66.9,11.1,89762
"HINDPHA1252","Hindalco Pharmaceuticals D1252","Energy",3621.51,0.45,63.6,27.9,76687
"AIRTTEC1253","Airtel Technologies E1253","Automobile",3833.51,0.13,33.8,30.2,30715
"BIOCAUT1254","Biocon Automotive F1254","Consumer Goods",2124.86,-1.10,59.9,15.2,139236
"CIPLPOW1255","Cipla Power G1255","IT",4142.18,-0.54,26.4,18.3,235500
"RELIPOW1256","Reliance Power H1256","Banking",433.23,-1.08,23.1,9.8,412848
"ADANINF1257","Adani Infrastructure I1257","Pharma",3543.98,0.41,19.9,8.7,29341
"KOTAAUT1258","Kotak Automotive J1258","Energy",740.24,-3.04,65.3,13.8,414480
"NTPCENT1259","NTPC Enterprises K1259","Automobile",3124.07,-0.13,41.6,9.0,143958
"TITAAUT1260","Titan Automotive L1260","Consumer Goods",4317.50,0.35,42.8,11.6,300126
"AIRTINF1261","Airtel Infrastructure M1261","IT",1024.18,-1.23,57.0,22.5,439245
"LARSHOL1262","Larsen Holdings N1262","Banking",4089.40,0.55,42.0,0.3,117916
"NTPCDIG1263","NTPC Digital O1263","Pharma",2676.47,0.65,54.4,16.1,236610
"LARSTEC1264","Larsen Technologies P1264","Energy",3922.48,0.61,13.3,18.7,157389
"VEDACAP1265","Vedanta Capital Q1265","Automobile",546.64,-3.44,24.2,18.9,447389
"INFOLAB1266","Infosys Labs R1266","Consumer Goods",2894.97,0.52,46.3,13.0,397749
"MARUENT1267","Maruti Enterprises S1267","IT",1763.10,0.28,67.4,13.3,139510
"LARSGLO1268","Larsen Global T1268","Banking",2520.42,-0.19,55.3,9.5,483361
"GODRDIG1269","Godrej Digital U1269","Pharma",4228.41,0.14,33.5,17.5,335240
"AXISLAB1270","Axis Labs V1270","Energy",3834.28,-0.62,34.0,11.4,32136
"WIPRVEN1271","Wipro Ventures W1271","Automobile",4052.88,-0.10,28.2,21.9,148056
"VEDAIND1272","Vedanta Industries X1272","Consumer Goods",2002.30,-0.89,64.7,7.4,155849
"HINDINF1273","Hindalco Infrastructure Y1273","IT",4865.49,0.04,39.5,33.6,182587
"RELIENT1274","Reliance Enterprises Z1274","Banking",2390.67,1.03,30.6,34.2,192397
"GODRPHA1275","Godrej Pharmaceuticals A1275","Pharma",4311.41,0.38,49.0,20.8,199346
"AUROSOF1276","Aurobindo Software B1276","Energy",1274.58,0.38,9.1,11.1,105702
"SUNSOF1277","Sun Software C1277","Automobile",170.95,-11.25,67.2,21.2,261054
"BAJADIG1278","Bajaj Digital D1278","Consumer Goods",2690.68,-0.02,29.0,15.5,152096
"MAHIINF1279","Mahindra Infrastructure E1279","IT",981.31,-1.25,41.7,22.7,85526
"NTPCSOL1280","NTPC Solutions F1280","Banking",4958.93,-0.26,58.0,0.8,296364
"BIOCVEN1281","Biocon Ventures G1281","Pharma",376.24,-2.06,65.7,26.4,291068
"ADANFMC1282","Adani FMCG H1282","Energy",2688.08,-0.28,31.8,9.2,237845
"KOTAIND1283","Kotak Industries I1283","Automobile",251.41,7.09,53.0,27.8,131156
"MAHIDIG1284","Mahindra Digital J1284","Consumer Goods",5016.40,0.27,35.1,22.7,367912
"VEDAHOL1285","Vedanta Holdings K1285","IT",2063.12,-1.15,52.7,8.2,40677
"KOTAPOW1286","Kotak Power L1286","Banking",726.21,-1.51,27.1,13.4,369324
"WIPRAUT1287","Wipro Automotive M1287","Pharma",4635.84,-0.20,65.2,2.6,102410
"KOTAGLO1288","Kotak Global N1288","Energy",5057.80,0.46,51.0,13.1,63604
"HINDIND1289","Hindalco Industries O1289","Automobile",1960.89,-0.88,15.4,11.8,340888
"AIRTSOL1290","Airtel Solutions P1290","Consumer Goods",3912.25,0.16,32.2,23.2,166602
"INFOIND1291","Infosys Industries Q1291","IT",2496.41,0.05,43.1,23.8,496965
"RELIHOL1292","Reliance Holdings R1292","Banking",3963.20,0.15,54.2,19.0,405556
"HINDPOW1293","Hindalco Power S1293","Pharma",743.87,2.30,26.9,10.0,366928
"RELIGLO1294","Reliance Global T1294","Energy",2113.60,-0.85,7.6,21.8,298463
"BIOCLAB1295","Biocon Labs U1295","Automobile",3183.67,0.54,63.6,12.7,322425
"ICICAUT1296","ICICI Automotive V1296","Consumer Goods",1634.60,1.27,55.6,26.9,29726
"GODRHOL1297","Godrej Holdings W1297","IT",3726.28,0.38,61.5,6.8,417513
"ICICIND1298","ICICI Industries X1298","Banking",1470.14,1.52,53.3,20.9,123689
"AIRTVEN1299","Airtel Ventures Y1299","Pharma",1796.47,-0.07,11.1,26.1,336560
"KOTAHOL1300","Kotak Holdings Z1300","Energy",3082.01,0.64,8.6,33.5,104645
"SUNCAP1301","Sun Capital A1301","Automobile",1633.52,-0.99,36.3,14.9,91872
"LARSLAB1302","Larsen Labs B1302","Consumer Goods",406.51,2.75,16.7,23.8,278229
"HINDGLO1303","Hindalco Global C1303","IT",2465.61,0.86,51.6,31.7,18069
"BAJAIND1304","Bajaj Industries D1304","Banking",1583.36,-0.02,69.3,13.1,334902
"LARSLAB1305","Larsen Labs E1305","Pharma",982.07,-2.34,18.6,1.4,433506
"AUROAUT1306","Aurobindo Automotive F1306","Energy",2847.21,-0.64,21.7,27.8,105548
"TITAIND1307","Titan Industries G1307","Automobile",2188.69,-0.22,50.4,24.1,77110
"WIPRGLO1308","Wipro Global H1308","Consumer Goods",5055.71,0.04,30.5,15.4,306111
"TATAPOW1309","Tata Power I1309","IT",615.63,2.95,58.3,3.6,462495
"AUROSOL1310","Aurobindo Solutions J1310","Banking",3564.20,-0.21,22.8,33.8,10878
"SUNAUT1311","Sun Automotive K1311","Pharma",1879.94,-1.11,48.0,31.9,407927
"TATAINF1312","Tata Infrastructure L1312","Energy",2604.59,0.62,8.6,4.8,404520
"MAHIPOW1313","Mahindra Power M1313","Automobile",920.91,-1.19,13.8,17.5,281530
"BIOCINF1314","Biocon Infrastructure N1314","Consumer Goods",2125.65,-0.13,23.5,20.9,494487
"WIPRLAB1315","Wipro Labs O1315","IT",1101.27,0.57,62.9,18.5,74814
"MAHIDIG1316","Mahindra Digital P1316","Banking",3847.97,0.18,66.1,34.9,356008
"HDFCSOL1317","HDFC Solutions Q1317","Pharma",3706.25,0.56,51.0,24.5,77680
"RELIINF1318","Reliance Infrastructure R1318","Energy",3089.94,0.48,28.2,21.3,447235
"MARUVEN1319","Maruti Ventures S1319","Automobile",4163.98,-0.30,53.6,1.4,296411
"AUROAUT1320","Aurobindo Automotive T1320","Consumer Goods",4956.75,-0.04,10.8,31.2,136851
"BIOCSOF1321","Biocon Software U1321","IT",253.14,0.93,36.4,10.9,126655
"WIPRIND1322","Wipro Industries V1322","Banking",5071.54,-0.40,47.2,18.0,450420
"INFOINF1323","Infosys Infrastructure W1323","Pharma",3722.36,0.62,31.3,16.5,370057
"INFOHOL1324","Infosys Holdings X1324","Energy",4628.40,0.40,53.2,18.6,444241
"VEDAHOL1325","Vedanta Holdings Y1325","Automobile",458.63,-1.52,63.3,17.4,328414
"ICICGLO1326","ICICI Global Z1326","Consumer Goods",1968.10,0.53,31.3,14.1,424805
"AIRTLAB1327","Airtel Labs A1327","IT",2837.09,0.42,60.8,26.8,333984
"WIPRFMC1328","Wipro FMCG B1328","Banking",3200.05,-0.20,49.4,16.0,246432
"RELIENT1329","Reliance Enterprises C1329","Pharma",4004.30,0.25,55.2,20.3,135814
"BIOCIND1330","Biocon Industries D1330","Energy",2839.89,-0.10,15.1,12.6,35291
"TITAENT1331","Titan Enterprises E1331","Automobile",980.30,-0.80,27.9,34.7,402678
"ICICVEN1332","ICICI Ventures F1332","Consumer Goods",4968.13,-0.37,5.7,0.1,340438
"MARUHOL1333","Maruti Holdings G1333","IT",4967.33,0.46,50.9,15.2,363721
"HDFCLAB1334","HDFC Labs H1334","Banking",2801.25,-0.04,46.9,31.8,116082
"BAJALAB1335","Bajaj Labs I1335","Pharma",4989.01,-0.37,39.2,21.4,285885
"SUNHOL1336","Sun Holdings J1336","Energy",3521.40,0.62,21.1,30.9,12409
"RELIINF1337","Reliance Infrastructure K1337","Automobile",360.43,5.71,60.0,24.1,6594
"TATASOF1338","Tata Software L1338","Consumer Goods",1101.78,-2.11,58.9,34.5,179048
"LARSHOL1339","Larsen Holdings M1339","IT",2087.49,-0.45,54.3,20.9,299409
"ADANPHA1340","Adani Pharmaceuticals N1340","Banking",244.75,9.32,17.0,9.2,305703
"NTPCIND1341","NTPC Industries O1341","Pharma",4608.15,0.36,47.4,6.6,97271
"TATADIG1342","Tata Digital P1342","Energy",2643.48,-0.09,9.6,34.9,307078
"NTPCSOF1343","NTPC Software Q1343","Automobile",3548.35,-0.08,43.7,9.4,389782
"HINDAUT1344","Hindalco Automotive R1344","Consumer Goods",4473.12,-0.53,34.7,11.0,354270
"VEDAPOW1345","Vedanta Power S1345","IT",4415.84,-0.31,12.6,1.4,95382
"TATASOF1346","Tata Software T1346","Banking",2751.32,0.32,64.7,30.5,292948
"VEDAGLO1347","Vedanta Global U1347","Pharma",4556.91,-0.16,66.2,25.2,260875
"AIRTDIG1348","Airtel Digital V1348","Energy",2915.25,0.21,16.7,24.3,15073
"ADANGLO1349","Adani Global W1349","Automobile",4591.67,0.17,22.7,3.7,253028
"SUNDIG1350","Sun Digital X1350","Consumer Goods",259.44,-8.07,6.5,21.9,287840
"GODRHOL1351","Godrej Holdings Y1351","IT",1822.83,1.13,20.1,9.3,485561
"MAHIENT1352","Mahindra Enterprises Z1352","Banking",4447.04,-0.37,11.4,24.0,174204
"AUROCAP1353","Aurobindo Capital A1353","Pharma",3947.52,0.18,69.6,24.9,392197
"INFOPOW1354","Infosys Power B1354","Energy",1119.65,-1.32,11.6,24.3,343644
"LARSAUT1355","Larsen Automotive C1355","Automobile",2313.09,-0.45,58.6,6.2,12096
"NTPCTEC1356","NTPC Technologies D1356","Consumer Goods",4509.69,-0.20,16.9,17.6,322328
"AIRTSOF1357","Airtel Software E1357","IT",1996.57,-0.82,56.9,5.2,234969
"MARUENT1358","Maruti Enterprises F1358","Banking",1623.18,-0.48,68.9,30.7,18562
"ICICENT1359","ICICI Enterprises G1359","Pharma",3669.61,0.51,13.8,14.5,340772
"ICICVEN1360","ICICI Ventures H1360","Energy",3311.57,-0.55,40.3,23.9,470049
"INFOENT1361","Infosys Enterprises I1361","Automobile",3701.08,0.45,57.6,19.6,10471
"CIPLDIG1362","Cipla Digital J1362","Consumer Goods",282.99,-5.75,20.0,20.7,271911
"AXISSOL1363","Axis Solutions K1363","IT",3487.42,-0.69,40.4,4.1,35094
"BIOCSOF1364","Biocon Software L1364","Banking",2108.00,-0.91,47.2,14.7,117839
"CIPLCAP1365","Cipla Capital M1365","Pharma",2349.88,-0.98,38.0,7.6,471984
"AUROPOW1366","Aurobindo Power N1366","Energy",344.05,-3.71,61.3,6.3,352358
"ADANAUT1367","Adani Automotive O1367","Automobile",1843.26,1.26,41.2,9.1,48913
"GODRINF1368","Godrej Infrastructure P1368","Consumer Goods",4405.31,-0.49,64.3,24.0,394667
"CIPLAUT1369","Cipla Automotive Q1369","IT",2081.94,0.99,69.7,32.3,482202
"MAHILAB1370","Mahindra Labs R1370","Banking",1233.00,-1.33,29.0,20.5,365436
"VEDALAB1371","Vedanta Labs S1371","Pharma",3613.48,-0.08,19.2,17.7,115420
"HDFCDIG1372","HDFC Digital T1372","Energy",3839.09,0.27,18.4,15.4,439290
"MARUVEN1373","Maruti Ventures U1373","Automobile",2964.49,0.75,9.4,0.1,148872
"SUNSOL1374","Sun Solutions V1374","Consumer Goods",1784.65,-1.13,30.4,3.8,165530
"TITAGLO1375","Titan Global W1375","IT",1893.33,-0.51,67.7,31.2,325805
"RELIVEN1376","Reliance Ventures X1376","Banking",2626.80,-0.84,46.2,32.5,396342
"WIPRPHA1377","Wipro Pharmaceuticals Y1377","Pharma",4940.07,0.28,6.2,29.8,476827
"ADANENT1378","Adani Enterprises Z1378","Energy",2374.22,0.27,7.3,22.2,408376
"WIPRTEC1379","Wipro Technologies A1379","Automobile",608.85,1.00,8.4,2.9,466880
"TITATEC1380","Titan Technologies B1380","Consumer Goods",1913.55,-0.01,13.2,10.2,387524
"HDFCVEN1381","HDFC Ventures C1381","IT",4686.49,0.06,43.5,32.6,437765
"VEDAGLO1382","Vedanta Global D1382","Banking",2204.90,0.13,59.7,21.0,111298
"HDFCCAP1383","HDFC Capital E1383","Pharma",1830.39,-1.31,12.2,29.6,443491
"SUNDIG1384","Sun Digital F1384","Energy",4434.35,0.32,21.2,18.5,403978
"ADANAUT1385","Adani Automotive G1385","Automobile",2652.34,-0.30,51.1,1.7,461195
"BAJAPHA1386","Bajaj Pharmaceuticals H1386","Consumer Goods",3658.21,0.02,38.0,25.4,104904
"ITCSOF1387","ITC Software I1387","IT",316.04,8.22,58.7,15.3,440897
"MARUAUT1388","Maruti Automotive J1388","Banking",4248.01,0.20,10.4,23.0,487208
"MAHIDIG1389","Mahindra Digital K1389","Pharma",744.22,0.72,59.4,25.5,363365
"WIPRTEC1390","Wipro Technologies L1390","Energy",576.02,0.86,28.2,29.8,230420
"MAHIDIG1391","Mahindra Digital M1391","Automobile",4488.16,-0.45,35.8,19.3,359087
"AIRTVEN1392","Airtel Ventures N1392","Consumer Goods",168.17,5.47,62.5,4.7,478601
"AXISAUT1393","Axis Automotive O1393","IT",4701.09,0.26,52.2,31.9,290600
"CIPLVEN1394","Cipla Ventures P1394","Banking",698.02,-1.83,15.3,8.9,267477
"BAJAIND1395","Bajaj Industries Q1395","Pharma",710.62,-1.96,47.0,28.5,289564
"NTPCFMC1396","NTPC FMCG R1396","Energy",1899.28,-0.22,20.3,15.1,270273
"ITCTEC1397","ITC Technologies S1397","Automobile",4772.39,0.49,62.7,9.2,94857
"CIPLLAB1398","Cipla Labs T1398","Consumer Goods",653.83,-1.43,5.7,3.4,367117
"MARUGLO1399","Maruti Global U1399","IT",2908.79,-0.66,14.4,32.2,205374
"INFOTEC1400","Infosys Technologies V1400","Banking",2059.87,1.20,37.9,15.3,182768
"ICICSOF1401","ICICI Software W1401","Pharma",3864.47,-0.15,57.8,9.7,220998
"RELIVEN1402","Reliance Ventures X1402","Energy",2127.97,-0.90,8.8,8.4,56627
"ICICVEN1403","ICICI Ventures Y1403","Automobile",4402.12,-0.36,14.2,26.6,180631
"TATAFMC1404","Tata FMCG Z1404","Consumer Goods",3036.74,0.53,21.3,17.3,287639
"HDFCINF1405","HDFC Infrastructure A1405","IT",4495.15,-0.30,58.0,22.8,493852
"CIPLTEC1406","Cipla Technologies B1406","Banking",2967.92,-0.83,18.4,22.1,192955
